Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
KAN,30,19,63.33%,102,10,28.00%,19,13,68.42%,44,8,29.70%,All Travis Kelce red zone receiving plays,Travis Kelce,2022
MIN,28,14,50.00%,106,6,28.60%,19,9,47.37%,59,5,36.50%,All Justin Jefferson red zone receiving plays,Justin Jefferson,2022
SEA,27,8,29.63%,62,5,40.30%,10,3,30.00%,15,3,37.00%,All D.K. Metcalf red zone receiving plays,D.K. Metcalf,2022
CIN,24,14,58.33%,113,5,27.60%,9,3,33.33%,19,3,25.70%,All Ja'Marr Chase red zone receiving plays,Ja'Marr Chase,2022
BUF,23,11,47.83%,91,7,29.90%,12,5,41.67%,21,4,34.30%,All Stefon Diggs red zone receiving plays,Stefon Diggs,2022
LAC,23,18,78.26%,65,5,24.00%,13,12,92.31%,0,3,28.30%,All Austin Ekeler red zone receiving plays,Austin Ekeler,2022
LVR,22,10,45.45%,39,4,31.90%,12,5,41.67%,18,4,36.40%,All Davante Adams red zone receiving plays,Davante Adams,2022
JAX,22,12,54.55%,97,7,28.90%,10,6,60.00%,33,6,31.30%,All Christian Kirk red zone receiving plays,Christian Kirk,2022
DET,21,13,61.90%,98,6,24.40%,7,5,71.43%,20,4,17.10%,All Amon-Ra St. Brown red zone receiving plays,Amon-Ra St. Brown,2022
MIN,21,14,66.67%,78,5,21.40%,11,6,54.55%,13,4,21.20%,All Adam Thielen red zone receiving plays,Adam Thielen,2022
CLE,20,12,60.00%,87,4,28.60%,7,3,42.86%,21,2,23.30%,All David Njoku red zone receiving plays,David Njoku,2022
NYJ,19,5,26.32%,35,3,30.20%,10,3,30.00%,15,2,35.70%,All Garrett Wilson red zone receiving plays,Garrett Wilson,2022
TAM,18,12,66.67%,76,5,18.80%,9,6,66.67%,25,5,18.40%,All Russell Gage red zone receiving plays,Russell Gage,2022
2TM,18,10,55.56%,61,5,0.00%,8,3,37.50%,10,3,0.00%,All T.J. Hockenson red zone receiving plays,T.J. Hockenson,2022
JAX,18,8,44.44%,40,3,23.70%,7,4,57.14%,14,2,21.90%,All Zay Jones red zone receiving plays,Zay Jones,2022
BAL,17,10,58.82%,62,5,24.30%,6,3,50.00%,3,2,20.70%,All Mark Andrews red zone receiving plays,Mark Andrews,2022
GNB,17,9,52.94%,50,4,23.00%,10,5,50.00%,15,3,31.30%,All Allen Lazard red zone receiving plays,Allen Lazard,2022
PHI,16,8,50.00%,82,4,34.00%,8,3,37.50%,21,2,40.00%,All A.J. Brown red zone receiving plays,A.J. Brown,2022
