Tm,Att_20,Yds_20,TD_20,%Rush_20,Att_10,Yds_10,TD_10,%Rush_10,Att_5,Yrds_5,TD_5,%Rush_5,Highlights,Player,Year
DET,57,107,16,60.00%,45,70,15,73.80%,28,24,14,84.80%,All Jamaal Williams red zone rushing plays,Jamaal Williams,2022
SEA,48,151,7,73.80%,16,7,2,76.20%,9,-3,1,100.00%,All Kenneth Walker red zone rushing plays,Kenneth Walker,2022
LAC,47,165,10,64.40%,24,58,10,63.20%,8,9,6,53.30%,All Austin Ekeler red zone rushing plays,Austin Ekeler,2022
PHI,45,129,10,37.80%,26,63,8,36.10%,11,17,5,26.80%,All Miles Sanders red zone rushing plays,Miles Sanders,2022
PHI,44,122,11,37.00%,26,47,11,36.10%,20,12,9,48.80%,All Jalen Hurts red zone rushing plays,Jalen Hurts,2022
JAX,40,149,4,50.00%,23,44,4,47.90%,10,5,2,43.50%,All Travis Etienne red zone rushing plays,Travis Etienne,2022
LVR,40,110,9,76.90%,23,35,8,85.20%,11,8,5,91.70%,All Josh Jacobs red zone rushing plays,Josh Jacobs,2022
MIN,39,72,6,60.00%,24,28,6,53.30%,15,12,5,60.00%,All Dalvin Cook red zone rushing plays,Dalvin Cook,2022
PIT,39,128,7,52.70%,22,51,6,53.70%,9,6,3,37.50%,All Najee Harris red zone rushing plays,Najee Harris,2022
ATL,38,140,3,34.20%,17,40,3,35.40%,6,4,1,33.30%,All Tyler Allgeier red zone rushing plays,Tyler Allgeier,2022
2TM,38,100,7,0.00%,21,34,5,0.00%,10,5,5,0.00%,All Christian McCaffrey red zone rushing plays,Christian McCaffrey,2022
CIN,38,98,7,49.40%,29,55,6,58.00%,14,10,5,63.60%,All Joe Mixon red zone rushing plays,Joe Mixon,2022
CLE,37,91,9,46.80%,20,34,7,52.60%,12,12,6,63.20%,All Nick Chubb red zone rushing plays,Nick Chubb,2022
TEN,36,118,11,75.00%,17,27,10,70.80%,15,24,10,88.20%,All Derrick Henry red zone rushing plays,Derrick Henry,2022
NYG,35,100,8,47.30%,23,53,7,51.10%,14,24,7,58.30%,All Saquon Barkley red zone rushing plays,Saquon Barkley,2022
DAL,35,97,12,50.00%,26,53,11,61.90%,16,17,9,69.60%,All Ezekiel Elliott red zone rushing plays,Ezekiel Elliott,2022
BUF,33,83,4,43.40%,17,35,4,43.60%,7,1,2,38.90%,All Devin Singletary red zone rushing plays,Devin Singletary,2022
CAR,32,105,5,43.80%,16,28,3,48.50%,7,8,3,50.00%,All D'Onta Foreman red zone rushing plays,D'Onta Foreman,2022
HOU,32,55,3,54.20%,15,19,3,50.00%,7,-2,3,53.80%,All Dameon Pierce red zone rushing plays,Dameon Pierce,2022
CHI,31,115,5,36.90%,16,56,5,37.20%,3,3,2,15.00%,All David Montgomery red zone rushing plays,David Montgomery,2022
NWE,31,49,3,50.00%,19,21,3,59.40%,7,3,2,58.30%,All Rhamondre Stevenson red zone rushing plays,Rhamondre Stevenson,2022
IND,31,58,3,43.70%,16,19,3,50.00%,8,8,3,50.00%,All Jonathan Taylor red zone rushing plays,Jonathan Taylor,2022
KAN,30,86,5,35.70%,20,54,5,43.50%,7,8,3,30.40%,All Isiah Pacheco red zone rushing plays,Isiah Pacheco,2022
ATL,30,134,8,27.00%,12,34,6,25.00%,5,11,4,27.80%,All Cordarrelle Patterson red zone rushing plays,Cordarrelle Patterson,2022
GNB,29,91,2,44.60%,9,17,0,28.10%,2,2,0,12.50%,All Aaron Jones red zone rushing plays,Aaron Jones,2022
LAR,27,79,7,54.00%,14,30,6,53.80%,8,8,5,57.10%,All Cam Akers red zone rushing plays,Cam Akers,2022
GNB,27,72,5,41.50%,17,34,5,53.10%,10,10,4,62.50%,All AJ Dillon red zone rushing plays,AJ Dillon,2022
TAM,26,44,3,52.00%,19,25,3,65.50%,8,7,3,61.50%,All Leonard Fournette red zone rushing plays,Leonard Fournette,2022
BUF,25,77,6,32.90%,15,23,5,38.50%,11,7,4,61.10%,All Josh Allen red zone rushing plays,Josh Allen,2022
CHI,25,58,5,29.80%,15,26,5,34.90%,10,19,5,50.00%,All Justin Fields red zone rushing plays,Justin Fields,2022
WAS,25,48,3,32.10%,16,17,3,37.20%,8,-5,3,47.10%,All Antonio Gibson red zone rushing plays,Antonio Gibson,2022
CLE,25,59,2,31.60%,12,32,2,31.60%,4,6,2,21.10%,All Kareem Hunt red zone rushing plays,Kareem Hunt,2022
NYG,24,76,6,32.40%,14,28,5,31.10%,7,-4,3,29.20%,All Daniel Jones red zone rushing plays,Daniel Jones,2022
2TM,24,59,3,0.00%,16,23,3,0.00%,8,2,3,0.00%,All Jeff Wilson red zone rushing plays,Jeff Wilson,2022
ARI,23,79,6,33.80%,15,52,6,44.10%,6,8,4,37.50%,All James Conner red zone rushing plays,James Conner,2022
DAL,23,99,6,32.90%,12,23,3,28.60%,6,4,2,26.10%,All Tony Pollard red zone rushing plays,Tony Pollard,2022
WAS,23,51,2,29.50%,14,19,2,32.60%,5,4,2,29.40%,All Brian Robinson red zone rushing plays,Brian Robinson,2022
DET,23,111,5,24.20%,11,44,4,18.00%,4,2,2,12.10%,All D'Andre Swift red zone rushing plays,D'Andre Swift,2022
CIN,21,52,5,27.30%,14,21,4,28.00%,7,8,4,31.80%,All Joe Burrow red zone rushing plays,Joe Burrow,2022
CHI,20,70,4,23.80%,8,7,2,18.60%,6,2,2,30.00%,All Khalil Herbert red zone rushing plays,Khalil Herbert,2022
NOR,20,38,2,36.40%,8,9,2,30.80%,4,8,2,36.40%,All Alvin Kamara red zone rushing plays,Alvin Kamara,2022
