Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Travis Kelce,KC,TE,33,17,17,0,0,0,0,0,2,5,2.5,0,152,110,1338,12.16,12,1,1,12,1,0,206,316.3,320.3,261.3,114,1,9,2022,7161,597,412,1911
George Kittle,SF,TE,29,15,15,0,0,0,0,0,0,0,0.0,0,86,60,765,12.75,11,1,1,11,0,0,141,200.5,204.5,170.5,52,2,23,2022,5161,426,253,1146
Taysom Hill,NO,TE,32,16,8,13,19,240,2,0,96,575,5.99,7,13,9,77,8.56,2,2,0,9,0,0,137,145.8,148.8,141.3,49,3,25,2022,5873,487,448,1904
T.J. Hockenson,2TM,TE,25,17,14,0,0,0,0,0,0,0,0.0,0,129,86,914,10.63,6,1,1,6,2,0,129,215.4,219.4,172.4,42,4,29,2022,6488,741,969,4290
Mark Andrews,BAL,TE,27,15,15,0,0,0,0,0,3,8,2.67,0,113,73,847,11.6,5,1,0,5,1,0,118,190.5,193.5,154.0,30,5,42,2022,5921,460,525,2719
Evan Engram,JAX,TE,28,17,14,0,0,0,0,0,2,13,6.5,0,98,73,766,10.49,4,0,0,4,1,0,104,176.9,179.9,140.4,18,6,51,2022,5924,563,367,1776
Cole Kmet,CHI,TE,23,17,17,0,0,0,0,0,2,9,4.5,0,69,50,544,10.88,7,1,0,7,0,0,97,147.3,150.3,122.3,11,7,60,2022,5609,326,556,3011
Juwan Johnson,NO,TE,26,16,12,0,0,0,0,0,0,0,0.0,0,65,42,508,12.1,7,0,0,7,0,0,93,134.8,137.8,113.8,7,8,64,2022,5873,487,448,1904
Dawson Knox,BUF,TE,26,15,15,0,0,0,0,0,0,0,0.0,0,65,48,517,10.77,6,0,0,6,0,0,88,135.7,138.7,111.7,2,9,71,2022,6435,526,407,2144
Dallas Goedert,PHI,TE,27,12,12,0,0,0,0,0,0,0,0.0,0,69,55,702,12.76,3,1,1,3,0,0,86,141.2,145.2,113.7,1,10,72,2022,6873,505,544,2509
Dalton Schultz,DAL,TE,26,15,15,0,0,0,0,0,0,0,0.0,0,89,57,577,10.12,5,1,1,5,0,0,86,142.7,146.7,114.2,0,11,0,2022,6209,545,530,2298
Pat Freiermuth,PIT,TE,24,16,8,0,0,0,0,0,0,0,0.0,0,98,63,732,11.62,2,0,0,2,0,0,85,148.2,151.2,116.7,0,12,0,2022,5674,498,491,2014
David Njoku,CLE,TE,26,14,14,0,0,0,0,0,2,-8,-4.0,0,80,58,628,10.83,4,1,1,4,0,0,84,142.0,146.0,113.0,0,13,0,2022,6200,496,532,2490
Gerald Everett,LAC,TE,28,16,11,0,0,0,0,0,1,0,0.0,0,87,58,555,9.57,4,0,0,4,1,0,82,139.5,142.5,110.5,0,14,0,2022,6315,687,404,1524
Jordan Akins,HOU,TE,30,15,3,0,0,0,0,0,0,0,0.0,0,54,37,495,13.38,5,1,1,5,1,0,80,116.5,120.5,98.0,0,16,0,2022,5107,528,392,1465
Tyler Higbee,LAR,TE,29,17,17,0,0,0,0,0,0,0,0.0,0,108,72,620,8.61,3,0,0,3,0,0,80,152.0,155.0,116.0,0,15,0,2022,4262,516,396,1624
Tyler Conklin,NYJ,TE,27,17,16,0,0,0,0,0,2,3,1.5,0,87,58,552,9.52,3,2,0,3,0,0,74,131.5,134.5,102.5,0,17,0,2022,5622,584,375,1599
Noah Fant,SEA,TE,25,17,16,0,0,0,0,0,0,0,0.0,0,63,50,486,9.72,4,0,0,4,0,0,73,122.6,125.6,97.6,0,18,0,2022,6326,547,415,2044
Zach Ertz,ARI,TE,32,10,10,0,0,0,0,0,0,0,0.0,0,69,47,406,8.64,4,0,0,4,2,0,69,115.6,118.6,92.1,0,19,0,2022,5536,579,364,1574
Mike Gesicki,MIA,TE,27,17,1,0,0,0,0,0,0,0,0.0,0,52,32,362,11.31,5,0,0,5,0,0,66,98.2,101.2,82.2,0,20,0,2022,5939,521,262,1174
Chigoziem Okonkwo,TEN,TE,23,17,8,0,0,0,0,0,3,2,0.67,0,46,32,450,14.06,3,0,0,3,1,0,65,97.2,100.2,81.2,0,21,0,2022,5333,428,482,2106
Hunter Henry,NE,TE,28,17,14,0,0,0,0,0,0,0,0.0,0,59,41,509,12.41,2,0,0,2,0,0,63,103.9,106.9,83.4,0,22,0,2022,5627,514,425,1812
Robert Tonyan,GB,TE,28,17,3,0,0,0,0,0,0,0,0.0,0,67,53,470,8.87,2,0,0,2,0,0,59,112.0,115.0,85.5,0,23,0,2022,6003,509,455,2113
Darren Waller,LV,TE,30,9,6,0,0,0,0,0,0,0,0.0,0,43,28,388,13.86,3,0,0,3,0,0,57,84.8,87.8,70.8,0,24,0,2022,6244,558,427,2062
Austin Hooper,TEN,TE,28,17,2,0,0,0,0,0,0,0,0.0,0,60,41,444,10.83,2,0,0,2,0,0,56,97.4,100.4,76.9,0,25,0,2022,5333,428,482,2106
Isaiah Likely,BAL,TE,22,16,2,0,0,0,0,0,0,0,0.0,0,60,36,373,10.36,3,0,0,3,0,0,55,91.3,94.3,73.3,0,26,0,2022,5921,460,525,2719
Will Dissly,SEA,TE,26,15,15,0,0,0,0,0,0,0,0.0,0,38,34,349,10.26,3,0,0,3,0,0,53,86.9,89.9,69.9,0,29,0,2022,6326,547,415,2044
Greg Dulcich,DEN,TE,22,10,6,0,0,0,0,0,0,0,0.0,0,55,33,411,12.45,2,0,0,2,0,0,53,86.1,89.1,69.6,0,28,0,2022,5030,484,242,1023
Hayden Hurst,CIN,TE,29,13,13,0,0,0,0,0,0,0,0.0,0,68,52,414,7.96,2,0,0,2,0,0,53,105.4,108.4,79.4,0,27,0,2022,6048,594,399,1528
Foster Moreau,LV,TE,25,15,14,0,0,0,0,0,0,2,0.0,0,54,33,420,12.73,2,1,1,2,0,0,52,85.2,89.2,68.7,0,30,0,2022,6244,558,427,2062
Cade Otton,TB,TE,23,16,11,0,0,0,0,0,0,0,0.0,0,65,42,391,9.31,2,0,0,2,0,0,51,93.1,96.1,72.1,0,31,0,2022,6052,717,385,1306
Jelani Woods,IND,TE,24,15,2,0,0,0,0,0,0,0,0.0,0,40,25,312,12.48,3,1,0,3,0,0,49,74.2,77.2,61.7,0,32,0,2022,5319,546,345,1465
Kyle Pitts,ATL,TE,22,10,10,0,0,0,0,0,0,0,0.0,0,59,28,356,12.71,2,0,0,2,0,0,48,75.6,78.6,61.6,0,33,0,2022,5645,400,559,2718
