Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Justin Jefferson,MIN,WR,23,17,17,2,2,34,0,0,4,24,6.0,1,184,128,1809,14.13,8,0,0,9,1,0,241,368.7,371.7,304.7,119,1,5,2022,6466,555,404,1661
Davante Adams,LV,WR,30,17,17,0,0,0,0,0,3,-1,-0.33,0,180,100,1516,15.16,14,1,0,14,0,0,236,335.5,338.5,285.5,114,2,8,2022,6244,558,427,2062
Tyreek Hill,MIA,WR,28,17,17,0,0,0,0,0,7,32,4.57,1,170,119,1710,14.37,7,1,0,9,0,0,228,347.2,350.2,287.7,107,3,11,2022,5939,521,262,1174
A.J. Brown,PHI,WR,25,17,16,0,0,0,0,0,0,0,0.0,0,145,88,1496,17.0,11,2,2,11,0,0,212,299.6,304.6,255.6,91,4,13,2022,6873,505,544,2509
Stefon Diggs,BUF,WR,29,16,16,0,0,0,0,0,1,-3,-3.0,0,154,108,1429,13.23,11,1,0,11,0,0,209,316.6,319.6,262.6,89,5,14,2022,6435,526,407,2144
CeeDee Lamb,DAL,WR,23,17,17,0,0,0,0,0,10,47,4.7,0,156,107,1359,12.7,9,0,0,9,0,0,195,301.6,304.6,248.1,75,6,16,2022,6209,545,530,2298
Jaylen Waddle,MIA,WR,24,17,17,0,0,0,0,0,3,26,8.67,0,117,75,1356,18.08,8,1,1,8,0,0,184,259.2,263.2,221.7,66,7,19,2022,5939,521,262,1174
Amari Cooper,CLE,WR,28,17,17,0,1,0,0,1,0,0,0.0,0,132,78,1160,14.87,9,0,0,9,0,0,168,246.0,250.0,208.0,50,8,24,2022,6200,496,532,2490
Amon-Ra St. Brown,DET,WR,23,16,16,0,0,0,0,0,9,95,10.56,0,146,106,1161,10.95,6,0,0,6,0,0,162,267.6,270.6,214.6,44,9,27,2022,6562,519,478,2124
DeVonta Smith,PHI,WR,24,17,17,0,0,0,0,0,0,0,0.0,0,136,95,1196,12.59,7,1,1,7,0,0,160,254.6,258.6,207.1,42,10,28,2022,6873,505,544,2509
Christian Kirk,JAX,WR,26,17,17,0,1,0,0,0,5,11,2.2,0,133,84,1108,13.19,8,1,1,8,0,0,158,241.9,245.9,199.9,41,11,30,2022,5924,563,367,1776
Ja'Marr Chase,CIN,WR,22,12,12,0,0,0,0,0,5,8,1.6,0,134,87,1046,12.02,9,2,2,9,0,0,155,242.4,247.4,198.9,38,12,32,2022,6048,594,399,1528
Tyler Lockett,SEA,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,117,84,1033,12.3,9,2,2,9,0,0,153,237.3,242.3,195.3,37,13,35,2022,6326,547,415,2044
